Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
216815055,"The Ballad of Falling Dragons (Moonfall, #2)",Sarah A. Parker,"Parker, Sarah A.",,000871035X,9780008710354,0,4.33,HarperVoyager,Kindle Edition,704,2026,2026,,2025/12/14,to-read,to-read (#86),to-read
56530123,"Glint (The Plated Prisoner, #2)",Raven Kennedy,"Kennedy, Raven",,,,4,4.15,Raven Kennedy,Kindle Edition,479,2021,2021,2025/12/14,2025/12/09,,,read
56483061,"Gild (The Plated Prisoner, #1)",Raven Kennedy,"Kennedy, Raven",,,,4,3.61,Raven Kennedy,Kindle Edition,402,2020,2020,2025/12/11,2025/12/09,,,read
49826643,"Daughter of No Worlds (The War of Lost Hearts, #1)",Carissa Broadbent,"Broadbent, Carissa",,,,0,4.02,,Kindle Edition,520,2020,2020,,2025/12/09,to-read,to-read (#84),to-read
51057191,"Jade Legacy (The Green Bone Saga, #3)",Fonda Lee,"Lee, Fonda",,035651059X,9780356510590,0,4.62,Orbit,Paperback,713,2021,2021,,2025/12/04,to-read,to-read (#80),to-read
41716919,"Jade War (The Green Bone Saga, #2)",Fonda Lee,"Lee, Fonda",,0316440922,9780316440929,0,4.38,Orbit,Hardcover,587,2019,2019,,2025/12/04,to-read,to-read (#79),to-read
43587154,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,0316440884,9780316440882,0,4.06,Orbit,Paperback,540,2018,2017,,2025/12/04,to-read,to-read (#78),to-read
8069828,"The Crimson Crown (Seven Realms, #4)",Cinda Williams Chima,"Chima, Cinda Williams",,1423144333,9781423144335,0,4.46,Hyperion Book CH,Hardcover,598,2012,2012,,2025/12/04,to-read,to-read (#77),to-read
9409469,"The Gray Wolf Throne (Seven Realms, #3)",Cinda Williams Chima,"Chima, Cinda Williams",,,,0,4.37,Hyperion Book CH,Hardcover,517,2011,2011,,2025/12/04,to-read,to-read (#76),to-read
7801229,"The Exiled Queen (Seven Realms, #2)",Cinda Williams Chima,"Chima, Cinda Williams",,1423118243,9781423118244,0,4.32,Hyperion Books,Hardcover,586,2010,2010,,2025/12/04,to-read,to-read (#75),to-read
6342491,"The Demon King (Seven Realms, #1)",Cinda Williams Chima,"Chima, Cinda Williams","Larry Rostant, Arianne Lewin",1423118235,9781423118237,0,4.15,Hyperion Books,Hardcover,506,2009,2009,,2025/12/04,to-read,to-read (#74),to-read
12954620,"Falling Kingdoms (Falling Kingdoms, #1)",Morgan Rhodes,"Rhodes, Morgan",Michelle Rowen,1595145842,9781595145840,0,3.77,Razorbill,Hardcover,412,2012,2012,,2025/12/04,to-read,to-read (#73),to-read
219866773,"Eldritch (The Eating Woods, #2)",Keri Lake,"Lake, Keri",,,,0,4.17,,Unknown Binding,766,2025,2025,,2025/12/04,to-read,to-read (#69),to-read
209741142,"Anathema (The Eating Woods, #1)",Keri Lake,"Lake, Keri",,,,0,4.20,,Unknown Binding,690,2024,2024,,2025/12/04,to-read,to-read (#68),to-read
196920718,"The Wolf King (The Wolf King, #1)",Lauren Palphreyman,"Palphreyman, Lauren",,,,5,4.14,Lauren Palphreyman,Kindle Edition,475,2023,2023,2025/12/03,2025/11/27,,,read
229282961,"Her Monstrous Beasts (Her Vicious Beasts, #5)",E.P. Bali,"Bali, E.P.",,1923159275,9781923159273,0,4.38,Blue Moon Rising Pty Ltd,Kindle Edition,573,2025,2025,,2025/11/27,to-read,to-read (#64),to-read
218266327,"Her Tortured Beasts (Her Vicious Beasts, #4)",E.P. Bali,"Bali, E.P.",,1923159208,9781923159204,0,4.23,Blue Moon Rising Pty Ltd,Kindle Edition,555,2025,2025,,2025/11/27,to-read,to-read (#63),to-read
210307256,"Her Psycho Beasts (Her Vicious Beasts, #3)",E.P. Bali,"Bali, E.P.",,1923159062,9781923159068,0,4.27,Blue Moon Rising Publishing,Kindle Edition,543,2024,,,2025/11/27,to-read,to-read (#62),to-read
200688969,"Her Rabid Beasts (Her Vicious Beasts, #2)",E.P. Bali,"Bali, E.P.",,0645784672,9780645784671,0,4.21,Blood Moon Rising Publishing,Kindle Edition,556,2024,2024,,2025/11/27,to-read,to-read (#61),to-read
125035180,"Her Feral Beasts (Her Vicious Beasts, #1)",E.P. Bali,"Bali, E.P.",,0645690996,9780645690996,0,4.08,Blue Moon Rising Publishing,Kindle Edition,570,2023,2023,,2025/11/27,to-read,to-read (#60),to-read
196579796,"Her Vicious Beasts: The Beginning (Her Vicious Beasts, #0.5)",E.P. Bali,"Bali, E.P.",,,,0,4.04,Blue Moon Rising Publishing,Kindle Edition,126,2023,,,2025/11/27,to-read,to-read (#59),to-read
214631011,"Twisted Soul (Cursed Legacies, #3)",Morgan B. Lee,"Lee, Morgan B.",,,,0,4.36,,Kindle Edition,447,2024,2024,,2025/11/27,to-read,to-read (#58),to-read
209041304,"Shadow Heart (Cursed Legacies, #2)",Morgan B. Lee,"Lee, Morgan B.",,,,0,4.32,,Kindle Edition,378,2024,2024,,2025/11/27,to-read,to-read (#57),to-read
205058752,"Blood Oath (Cursed Legacies, #1)",Morgan B. Lee,"Lee, Morgan B.",,,,0,4.17,,Kindle Edition,286,2024,2024,,2025/11/27,to-read,to-read (#56),to-read
62816044,"A Curse for True Love (Once Upon a Broken Heart, #3)",Stephanie Garber,"Garber, Stephanie",,1250851203,9781250851208,0,4.17,Flatiron,Hardcover,386,2023,2023,,2025/11/27,to-read,to-read (#54),to-read
59808071,"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,"Garber, Stephanie",,1250268427,9781250268426,0,4.49,Flatiron Books,Hardcover,416,2022,2022,,2025/11/27,to-read,to-read (#53),to-read
55987278,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,"Garber, Stephanie",,1250268397,9781250268396,0,4.06,Flatiron Books,Hardcover,408,2021,2021,,2025/04/16,to-read,to-read (#42),to-read
36206591,Love and Other Words,Christina Lauren,"Lauren, Christina",,1501190539,9781501190537,2,4.21,Gallery Books,Hardcover,432,2018,2018,2025/04/23,2025/04/03,,,read
223775935,ხვალ და ხვალ და ხვალ,Gabrielle Zevin,"Zevin, Gabrielle",George Kharaishvili,9941384290,9789941384295,4,4.11,პალიტრა L,Paperback,552,2025,2022,2025/08/26,2025/08/18,,,read
2429135,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,0670069019,9780670069019,0,4.18,Viking Canada,Hardcover,480,2008,2005,,2025/08/14,to-read,to-read (#52),to-read
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,0007119313,9780007119318,0,4.20,HarperCollins,Paperback,274,2007,1934,,2025/08/14,to-read,to-read (#51),to-read
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,0312330871,9780312330873,0,4.27,St. Martin's Griffin,Paperback,264,2004,1939,,2025/08/14,to-read,to-read (#50),to-read
208931300,Intermezzo,Sally Rooney,"Rooney, Sally",,0374602638,9780374602635,0,3.80,"Farrar, Straus and Giroux",Hardcover,464,2024,2024,,2025/08/12,to-read,to-read (#49),to-read
56250307,"The Darkest Temptation (Made, #3)",Danielle Lori,"Lori, Danielle",,,,4,4.03,,Kindle Edition,410,2020,2020,2025/08/08,2025/07/11,,,read
62039166,The Bee Sting,Paul Murray,"Murray, Paul",,0374600309,9780374600303,0,3.88,"Farrar, Straus and Giroux",Hardcover,645,2023,2023,,2025/07/30,to-read,to-read (#46),to-read
40613322,"The Maddest Obsession (Made, #2)",Danielle Lori,"Lori, Danielle",,,,5,4.24,,ebook,333,2019,2019,2025/07/24,2025/07/11,,,read
62583508,Talking at Night,Claire Daverley,"Daverley, Claire",,0593653483,9780593653487,4,3.90,Pamela Dorman Books,Hardcover,400,2023,2023,2025/07/14,2025/07/04,,,read
39083635,"The Sweetest Oblivion (Made, #1)",Danielle Lori,"Lori, Danielle",,1721284443,9781721284443,3,4.01,CreateSpace,Paperback,384,2018,2018,2025/07/20,2025/07/11,,,read
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,015603008X,9780156030083,4,4.24,Harvest Books,Paperback,311,2004,1966,2025/05/30,2025/04/20,,,read
218568760,The Conditions of Will,Jessa Hastings,"Hastings, Jessa",,1464245339,9781464245336,0,4.29,Bloom Books,Paperback,464,2025,2025,,2025/05/05,to-read,to-read (#40),to-read
13543121,Between Two Fires,Christopher Buehlman,"Buehlman, Christopher",,1937007863,9781937007867,0,4.21,Ace,Hardcover,432,2012,2012,,2025/05/03,to-read,to-read (#39),to-read
11710373,"Written in My Own Heart's Blood (Outlander, #8)",Diana Gabaldon,"Gabaldon, Diana",,0385344430,9780385344432,0,4.55,Delacorte Press,Hardcover,825,2014,2014,,2025/05/03,to-read,to-read (#38),to-read
2832909,"An Echo in the Bone (Outlander, #7)",Diana Gabaldon,"Gabaldon, Diana",,0752898477,9780752898476,0,4.44,Orion,Hardcover,820,2010,2009,,2025/05/03,to-read,to-read (#37),to-read
10967,"The Fiery Cross (Outlander, #5)",Diana Gabaldon,"Gabaldon, Diana",,0440221668,9780440221661,0,4.26,Dell,Mass Market Paperback,1443,2005,2001,,2025/05/03,to-read,to-read (#36),to-read
40909452,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,"Gabaldon, Diana",,0525618732,9780525618737,0,4.36,Bantam,Paperback,928,2018,1996,,2025/05/03,to-read,to-read (#35),to-read
10987,"Voyager (Outlander, #3)",Diana Gabaldon,"Gabaldon, Diana",,0385335997,9780385335997,0,4.39,Dell,Paperback,870,2001,1993,,2025/05/03,to-read,to-read (#34),to-read
5364,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,"Gabaldon, Diana",,,,0,4.34,Bantam,Paperback,947,2001,1992,,2025/05/03,to-read,to-read (#33),to-read
10964,"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,0440242940,9780440242949,0,4.26,Dell,Mass Market Paperback,850,2005,1991,,2025/05/03,to-read,to-read (#32),to-read
57359837,Lotus,Jennifer Hartmann,"Hartmann, Jennifer",,,,4,4.17,,Kindle Edition,344,2021,2021,2025/04/14,2025/04/03,,,read
198902277,The Wedding People,Alison Espach,"Espach, Alison",,,,4,4.08,Henry Holt and Company,Hardcover,367,2024,2024,2025/04/03,2024/12/21,,,read
11604911,"A Storm of Swords: Part 1 Steel and Snow (A Song of Ice and Fire, #3 part 1)",George R.R. Martin,"Martin, George R.R.",,0007447752,,4,4.47,Harper Voyager,Kindle Edition,623,2011,2000,2025/03/23,2025/03/23,,,read
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,,,4,4.42,Random House Worlds,Paperback,1009,2002,1998,2025/02/16,2024/08/21,,,read
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,0553588486,9780553588484,4,4.45,Bantam,Mass Market Paperback,835,2005,1996,2025/01/22,2024/08/19,,,read
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,,,0,4.55,Bantam,Mass Market Paperback,1177,2003,2000,,2024/08/21,to-read,to-read (#24),to-read
49646047,"Origins of an Academy Bully (Zodiac Academy, #0.5)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,4,3.73,Independently Published,Kindle Edition,94,2019,2019,2024/12/31,2024/12/29,,,read
61771675,Hello Beautiful,Ann Napolitano,"Napolitano, Ann",,,,0,4.13,The Dial Press,Kindle Edition,594,2023,2023,,2024/12/21,to-read,to-read (#29),to-read
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,0063204150,9780063204157,0,4.36,Ecco,ebook,302,2022,2022,,2024/12/21,to-read,to-read (#28),to-read
198954263,"Restless Stars (Zodiac Academy, #9)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,4,4.27,King's Hollow,Kindle Edition,1153,2024,2024,2024/12/21,2024/11/25,,,read
177899172,"Beyond the Veil (Zodiac Academy, #8.5)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,3,3.84,King's Hollow,Kindle Edition,416,2023,2023,2024/11/25,2024/11/25,,,read
59808792,"Sorrow and Starlight (Zodiac Academy, #8)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,5,4.02,Amazon Digital Services,Kindle Edition,1242,2022,2022,2024/11/14,2024/10/29,,,read
56474282,"Heartless Sky (Zodiac Academy, #7)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,5,4.18,Amazon Digital Services,Kindle Edition,991,2021,2021,2024/10/29,2024/10/12,,,read
53535526,"Fated Throne (Zodiac Academy, #6)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,5,4.31,King's Hollow,Kindle Edition,823,2020,2020,2024/10/12,2024/09/26,,,read
50391615,"Cursed Fates (Zodiac Academy, #5)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,5,4.31,King's Hollow,Kindle Edition,886,2020,2020,2024/09/26,2024/09/16,,,read
53146871,"Shadow Princess (Zodiac Academy, #4)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,5,4.27,King's Hollow,Kindle Edition,724,2020,2020,2024/09/16,2024/09/04,,,read
49551172,"The Reckoning (Zodiac Academy, #3)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,5,4.33,King's Hollow,Kindle Edition,562,2019,2019,2024/09/04,2024/08/31,,,read
51966347,"Ruthless Fae (Zodiac Academy, #2)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,5,4.20,King's Hollow,Kindle Edition,475,2019,2019,2024/08/31,2024/08/27,,,read
46261182,"The Awakening (Zodiac Academy, #1)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,5,3.82,Dark Ink Publishing,Kindle Edition,436,2019,2019,2024/08/27,2024/08/21,,,read
61918816,"Yours Truly (Part of Your World, #2)",Abby Jimenez,"Jimenez, Abby",,1538704390,9781538704394,0,4.29,Forever,Paperback,398,2023,2023,,2024/08/22,to-read,to-read (#27),to-read
58684524,"Part of Your World (Part of Your World, #1)",Abby Jimenez,"Jimenez, Abby",,1538704374,9781538704370,0,4.25,Forever,Paperback,389,2022,2022,,2024/08/22,to-read,to-read (#26),to-read
195820807,"Just for the Summer (Part of Your World, #3)",Abby Jimenez,"Jimenez, Abby",,1538704439,9781538704431,0,4.35,Forever,Paperback,432,2024,2024,,2024/08/22,to-read,to-read (#25),to-read
52166786,"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty,"Chakraborty, S.A.",,0062678167,9780062678164,0,4.49,Harper Voyager,Hardcover,766,2020,2020,,2024/08/21,to-read,to-read (#23),to-read
39988431,"The Kingdom of Copper (The Daevabad Trilogy, #2)",S.A. Chakraborty,"Chakraborty, S.A.",,0008239444,9780008239442,0,4.38,Harper Voyager,Hardcover,625,2019,2019,,2024/08/21,to-read,to-read (#22),to-read
32718027,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,"Chakraborty, S.A.",,0062678108,9780062678102,0,4.14,Harper Voyager,Hardcover,532,2017,2017,,2024/08/21,to-read,to-read (#21),to-read
29367958,The Wall of Winnipeg and Me,Mariana Zapata,"Zapata, Mariana",,,,5,4.15,,Kindle Edition,475,2016,2016,2024/08/21,2024/08/14,,,read
190744442,The Murder After the Night Before,Katy Brent,"Brent, Katy",,0008536716,9780008536718,2,3.82,HQ Digital,Paperback,336,2024,2024,2024/08/14,2024/08/13,,,read
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,"Sanderson, Brandon",,0765391198,9780765391193,0,4.48,Tor Books,Hardcover,507,2022,2022,,2024/08/19,to-read,to-read (#17),to-read
18739426,"The Bands of Mourning (Mistborn, #6)",Brandon Sanderson,"Sanderson, Brandon",,146686267X,9781466862678,0,4.40,Tor,Kindle Edition,455,2016,2016,,2024/08/19,to-read,to-read (#16),to-read
16065004,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,"Sanderson, Brandon",,0765378558,9780765378552,0,4.26,Tor Books,Hardcover,376,2015,2015,,2024/08/19,to-read,to-read (#15),to-read
10803121,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,0765330423,9780765330420,0,4.19,Tor Books,Hardcover,325,2011,2011,,2024/08/19,to-read,to-read (#14),to-read
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,0765316897,9780765316899,0,4.56,Tor Books,Hardcover,572,2008,2008,,2024/08/19,to-read,to-read (#13),to-read
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,0765316889,9780765316882,0,4.38,Tor Books,Hardcover,590,2007,2007,,2024/08/19,to-read,to-read (#12),to-read
68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,,9780765311788,0,4.49,Tor Books,Hardcover,541,2006,2006,,2024/08/19,to-read,to-read (#11),to-read
197054431,"Magnolia Parks: Into the Dark (Magnolia Parks Universe, #5)",Jessa Hastings,"Hastings, Jessa",,0593474953,9780593474952,4,4.31,Dutton,Kindle Edition,720,2024,2024,2024/08/12,2024/06/19,,,read
6443834,"1Q84 Book 1 (1Q84, #1)",Haruki Murakami,"Murakami, Haruki",,4103534222,9784103534228,4,3.95,Shinchosha/Tsai Fong Books,Hardcover,554,2009,2009,,2024/01/01,,,read
61447046,"Magnolia Parks: The Long Way Home (Magnolia Parks Universe, #3)",Jessa Hastings,"Hastings, Jessa",,,9798985331738,5,4.22,,Kindle Edition,645,2022,2022,2024/07/30,2024/06/19,,,read
59708060,"Daisy Haites (Magnolia Parks Universe, #2)",Jessa Hastings,"Hastings, Jessa",,,,5,4.06,,Kindle Edition,436,2021,2021,2024/07/25,2024/06/19,,,read
58527403,"Magnolia Parks (Magnolia Parks Universe, #1)",Jessa Hastings,"Hastings, Jessa",,1737281198,9781737281191,4,3.65,,Kindle Edition,423,2021,2021,2024/07/22,2024/06/19,,,read
61324281,Girls That Invest: Your Guide to Financial Independence through Shares and Stocks,Simran   Kaur​,"Kaur​, Simran",,111989378X,9781119893783,5,4.50,Wiley,Paperback,215,2022,2022,2024/07/21,2024/07/19,,,read
52857700,"House of Flame and Shadow (Crescent City, #3)",Sarah J. Maas,"Maas, Sarah J.",,1681193094,9781681193090,4,4.23,Bloomsbury Publishing,ebook,835,2024,2024,2024/07/12,2024/06/20,,,read
208818334,"Burn of the Everflame (Kindred's Curse, #4)",Penn Cole,"Cole, Penn",,,,0,4.43,,Kindle Edition,,,,,2024/06/22,to-read,to-read (#10),to-read
40132775,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,"Maas, Sarah J.",,1408884429,9781408884423,5,4.42,Bloomsbury Publishing,Hardcover,805,2022,2022,2024/06/20,2024/06/08,,,read
44778083,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,"Maas, Sarah J.",,1635574048,9781635574043,5,4.45,Bloomsbury Publishing,Hardcover,803,2020,2020,2024/06/08,2024/03/14,,,read
58303345,"Mother of Death & Dawn (The War of Lost Hearts, #3)",Carissa Broadbent,"Broadbent, Carissa",,,,0,4.35,,Kindle Edition,722,2022,2022,,2024/06/03,to-read,to-read (#4),to-read
52617662,"Children of Fallen Gods (The War of Lost Hearts, #2)",Carissa Broadbent,"Broadbent, Carissa",,,,0,4.13,,Kindle Edition,636,2021,2021,,2024/06/03,to-read,to-read (#3),to-read
76714487,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,"Maas, Sarah J.",,1639731040,9781639731046,5,4.28,Bloomsbury Publishing,Hardcover,688,2023,2017,2024/04/22,2024/04/17,,,read
76706470,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,"Maas, Sarah J.",,,,5,4.45,Bloomsbury USA Childrens,Hardcover,576,2023,2014,2024/04/03,2024/03/24,,,read
126062562,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,"Maas, Sarah J.",,1619632217,9781619632219,4,4.20,Bloomsbury Children’s Books,Kindle Edition,451,2023,2014,2024/03/24,2024/03/24,,,read
76705490,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"Maas, Sarah J.",,1639730966,9781639730964,5,4.36,Bloomsbury Publishing,Hardcover,420,2023,2013,2024/03/20,2024/03/18,,,read
76703559,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,163973094X,9781639730940,5,4.19,Bloomsbury Publishing,Hardcover,406,2023,2012,2024/03/17,2024/01/24,,,read
17788401,Ugly Love,Colleen Hoover,"Hoover, Colleen",,,,3,3.99,Atria Books,Kindle Edition,330,2014,2014,2023/12/15,2021/09/04,,,read
34992929,"Restore Me (Shatter Me, #4)",Tahereh Mafi,"Mafi, Tahereh",,0062676369,9780062676368,5,4.13,HarperCollins,Hardcover,448,2018,2018,2024/03/04,2024/03/04,,,read
44054122,"Imagine Me (Shatter Me, #6)",Tahereh Mafi,"Mafi, Tahereh",,006267644X,9780062676443,4,4.01,HarperCollins,ebook,450,2020,2020,2024/03/09,2024/03/05,,,read
34992959,"Defy Me (Shatter Me, #5)",Tahereh Mafi,"Mafi, Tahereh",,0062676393,9780062676399,3,4.26,HarperTeen,Hardcover,357,2019,2019,2024/03/05,2024/03/05,,,read
13188676,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"Mafi, Tahereh",,006208559X,9780062085597,4,4.45,HarperCollins ,Kindle Edition,408,2014,2014,2024/03/02,2024/02/29,,,read
58340706,"One Dark Window (The Shepherd King, #1)",Rachel Gillig,"Gillig, Rachel",,0316312487,9780316312486,0,4.26,Orbit,Paperback,432,2022,2022,,2024/02/29,to-read,to-read (#2),to-read
60784546,"Divine Rivals (Letters of Enchantment, #1)",Rebecca   Ross,"Ross, Rebecca",,1250857430,9781250857439,0,4.15,Wednesday Books,Hardcover,368,2023,2023,,2023/12/31,to-read,to-read (#1),to-read
13104080,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"Mafi, Tahereh",,0062085530,9780062085535,4,4.10,HarperCollins ,Hardcover,480,2013,2013,2024/02/29,2024/02/27,,,read
10429045,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"Mafi, Tahereh",,0062085484,9780062085481,3,3.84,Harper,Hardcover,338,2011,2011,2024/02/25,2023/12/31,,,read
53138095,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,"Maas, Sarah J.",,168119628X,9781681196282,5,4.45,Bloomsbury Publishing,Hardcover,757,2021,2021,2024/02/22,2024/02/10,,,read
50659471,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",Sarah J. Maas,"Maas, Sarah J.",,1635575621,9781635575620,3,3.71,Bloomsbury Publishing,Paperback,272,2020,2018,2024/02/10,2024/02/08,,,read
50659472,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,1635575605,9781635575606,4,4.46,Bloomsbury Publishing,Paperback,699,2020,2017,2024/02/05,2024/01/28,,,read
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,1635575567,9781635575569,4,4.15,Bloomsbury Publishing,Paperback,419,2020,2015,2024/01/18,2023/12/31,,,read
26032912,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,"Black, Holly",,0316310409,9780316310406,4,4.33,"Little, Brown",ebook,321,2019,2019,2024/01/12,2023/12/31,,,read
42201431,"The Unhoneymooners (Unhoneymooners, #1)",Christina Lauren,"Lauren, Christina",,1501128035,9781501128035,3,3.89,Gallery Books,Paperback,432,2019,2019,2024/01/05,2023/12/31,,,read
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,"Black, Holly",,0316310336,9780316310338,5,4.27,"Little, Brown Books for Young Readers",ebook,336,2019,2019,2024/01/09,2023/12/31,,,read
25883848,The Hating Game,Sally  Thorne,"Thorne, Sally",,,,4,3.86,William Morrow Paperbacks,ebook,387,2016,2016,2021/09/05,2021/09/04,,,read
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,0316310271,9780316310277,3,4.01,"Little, Brown Books for Young Readers",Hardcover,370,2018,2018,,2023/12/31,,,read
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,,,3,4.12,Vintage International,Paperback,467,2006,2002,2024/01/01,2022/07/05,,,read
40961427,1984,George Orwell,"Orwell, George",,,,3,4.20,Houghton Mifflin Harcourt,ebook,298,2013,1948,,2021/02/17,,,read
20758104,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,"Ness, Patrick",,0763676187,9780763676186,2,3.98,Candlewick Press,Paperback,528,2014,2008,,2021/09/04,,,read
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,1400078776,9781400078776,4,3.85,Vintage Books ,Paperback,288,2010,2005,2022/08/17,2022/08/16,,,read
52867387,Beach Read,Emily Henry,"Henry, Emily",,1984806734,9781984806734,4,3.97,Berkley,Paperback,358,2020,2020,,2023/12/31,,,read
4667024,The Help,Kathryn Stockett,"Stockett, Kathryn",,0399155341,9780399155345,3,4.47,G.P. Putnam's Sons,Hardcover,451,2009,2009,,2021/09/04,,,read
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,,,3,4.14,Random House: Modern Library,Paperback,272,2004,1890,,2021/02/17,,,read
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,,,4,3.99,Vintage Books,Paperback,296,2000,1987,,2022/07/05,,,read
2623,Great Expectations,Charles Dickens,"Dickens, Charles","Kate Flint, Margaret Cardwell",0192833596,9780192833594,3,3.80,Oxford University Press,Paperback,544,1998,1861,,2021/02/17,,,read